50856,1000703,全,all
52549,1000725,單 173號以下,=SECTION:1;odd;<NUMBER:173
52550,1000725,單 175號以上,=SECTION:1;odd;>NUMBER:175
52549,1000725,雙 300號以下,=SECTION:1;even;<NUMBER:300
52550,1000725,雙 302號以上,=SECTION:1;even;>NUMBER:302
52551,1000725,單 121號以下,=SECTION:2;odd;<NUMBER:121
52552,1000725,單 123號至 219號,=SECTION:2;odd;~NUMBER:123:219
52553,1000725,單 221號以上,=SECTION:2;odd;>NUMBER:221
52551,1000725,雙  76號以下,=SECTION:2;even;<NUMBER:76
52552,1000725,雙  78號至 220號,=SECTION:2;even;~NUMBER:78:220
52553,1000725,雙 222號以上,=SECTION:2;even;>NUMBER:222
