81462,6401700,單 197號以下,odd;<NUMBER:197
81457,6401700,單 199號至 999號,odd;~NUMBER:199:999
81462,6401700,雙 228號以下,even;<NUMBER:228
81457,6401700,雙 230號至 998號,even;~NUMBER:230:998
