40354,6600400,單  35號以上,odd;>NUMBER:35
40354,6600400,雙  66號以上,even;>NUMBER:66
40458,6600500,單  33號以下,odd;<NUMBER:33
40458,6600500,雙  62號以下,even;<NUMBER:62
