70044,6703700,單 213號以下,odd;<213號
70044,6703700,雙 230號以下,even;<230號
70144,6703200,單 215號以上,odd;>215號
70144,6703200,雙 232號以上,even;>232號
74152,6701900,單 107號以下,odd;<107號
74153,6701900,單 109號以上,odd;>109號
74152,6701900,雙 110號以下,even;<110號
74153,6701900,雙 112號以上,even;>112號
