90041,1001301,單   9號以下,odd;<NUMBER:9
90047,1001301,單  11號至  35號,odd;~NUMBER:11:35
90051,1001301,單  37號以上,odd;>NUMBER:37
90041,1001301,雙   8號以下,even;<NUMBER:8
90047,1001301,雙  10號至  30號,even;~NUMBER:10:30
90051,1001301,雙  32號以上,even;>NUMBER:32
