11192,6301100,單 201號以上,odd;>NUMBER:201
11192,6301100,雙 124號以上,even;>NUMBER:124
11292,6301200,單 199號以下,odd;<NUMBER:199
11292,6301200,雙 122號以下,even;<NUMBER:122
