10067,6300500,單  59號以下,odd;<NUMBER:59
10069,6300500,單  61號至  95號,odd;~NUMBER:61:95
10068,6300500,雙 140號以下,even;<NUMBER:140
10880,6300700,單  97號至 123號,odd;~NUMBER:97:123
10879,6300700,　 125巷連  18號以下,=LANE:125;<NUMBER:18
10878,6300700,　 125巷連  19號至  30號,=LANE:125;~NUMBER:19:30
10877,6300700,　 125巷連  31號以上,=LANE:125;>NUMBER:31
10879,6300700,單 127號至 185號,odd;~NUMBER:127:185
10863,6300700,單 187號至 199號,odd;~NUMBER:187:199
10864,6300700,單 201號至 259號,odd;~NUMBER:201:259
10884,6300700,單 261號以上,odd;>NUMBER:261
10861,6300700,雙 142號至 292號,even;~NUMBER:142:292
10860,6300700,雙 294號至 460號,even;~NUMBER:294:460
10884,6300700,雙 462號以上,even;>NUMBER:462
