40465,6600500,單  53號以上,odd;>NUMBER:53
40465,6600500,雙  36號以上,even;>NUMBER:36
40650,6600800,單  51號以下,odd;<NUMBER:51
40650,6600800,雙  34號以下,even;<NUMBER:34
