80788,6400500,單 211巷以下,odd;<LANE:211
80790,6400500,單 213號以上,odd;>NUMBER:213
80788,6400500,雙 200號以下,even;<NUMBER:200
80790,6400500,雙 202號以上,even;>NUMBER:202
