81151,6400400,單 103號以下,odd;<NUMBER:103
81152,6400400,單 113號至 243號,odd;~NUMBER:113:243
81151,6400400,雙 102號以下,even;<NUMBER:102
81152,6400400,雙 120號至 242號,even;~NUMBER:120:242
