80043,6400600,單 387號以上,odd;>NUMBER:387
80043,6400600,雙 380號以上,even;>NUMBER:380
80261,6400800,單 385號以下,odd;<NUMBER:385
80261,6400800,雙 378號以下,even;<NUMBER:378
