61341,1001002,單   9號以下,odd;<NUMBER:9
61341,1001002,　  11巷單全,odd;=:11巷
61349,1001002,　  11巷雙全,even;=LANE:11
61349,1001002,單  13號以上,odd;>NUMBER:13
61341,1001002,雙  18號以下,even;<NUMBER:18
61349,1001002,雙  20號以上,even;>NUMBER:20
