10492,6300400,單  99號以下,odd;<NUMBER:99
10488,6300400,單 101巷至 131號,odd;~LANE:101:131
10487,6300400,單 133號至 203號,odd;~NUMBER:133:203
10479,6300400,單 205號至 233號,odd;~NUMBER:205:233
10481,6300400,單 235號以上,odd;>NUMBER:235
10488,6300400,雙  60號以下,even;<NUMBER:60
10489,6300400,雙  62巷至  90號,even;~LANE:62:90
10487,6300400,雙  92號至 148號,even;~NUMBER:92:148
10479,6300400,雙 150號至 210號,even;~NUMBER:150:210
10481,6300400,雙 212號以上,even;>NUMBER:212
