10675,6300300,單 317號至 395號,odd;~NUMBER:317:395
10671,6300300,單 397號以上,odd;>NUMBER:397
10675,6300300,雙 330號至 388號,even;~NUMBER:330:388
10671,6300300,雙 390號以上,even;>NUMBER:390
11052,6300200,單 161號以下,odd;<NUMBER:161
11053,6300200,單 163號至 181號,odd;~NUMBER:163:181
11054,6300200,單 183號至 315號,odd;~NUMBER:183:315
11052,6300200,雙 100號以下,even;<NUMBER:100
11053,6300200,雙 102號至 218號,even;~NUMBER:102:218
11054,6300200,雙 220號至 328號,even;~NUMBER:220:328
