97057,1001501,單 321號以下,odd;<NUMBER:321
97073,1001501,單 323號以上,odd;>NUMBER:323
97057,1001501,雙 296號以下,even;<NUMBER:296
97073,1001501,雙 298號以上,even;>NUMBER:298
