36350,1000509,單  57巷以下,odd;<LANE:57
36347,1000509,單  59號以上,odd;>NUMBER:59
36350,1000509,雙  50號以下,even;<NUMBER:50
36347,1000509,雙  52號以上,even;>NUMBER:52
