80050,6400600,單  59號以下,odd;<NUMBER:59
80050,6400600,雙  58號以下,even;<NUMBER:58
80749,6400500,單  61號至  85號,odd;~NUMBER:61:85
80749,6400500,雙  62號至  84號,even;~NUMBER:62:84
