80642,6400900,單  73巷以下,odd;<LANE:73
80645,6400900,單  75號以上,odd;>NUMBER:75
80642,6400900,雙  68巷以下,even;<LANE:68
80645,6400900,雙  90號以上,even;>NUMBER:90
