71543,6702400,單 103號以下,odd;<NUMBER:103
71542,6702400,單 105號至 109號,odd;~NUMBER:105:109
71541,6702400,單 111號以上,odd;>NUMBER:111
71543,6702400,雙 304號以下,even;<NUMBER:304
71542,6702400,雙 306號至 414號,even;~NUMBER:306:414
71541,6702400,雙 426號以上,even;>NUMBER:426
