40244,6600300,單 229號以上,odd;>NUMBER:229
40244,6600300,雙 212號以上,even;>NUMBER:212
40346,6600400,單 227之   1號以下,odd;<NUMBER:227之1
40346,6600400,雙 210號以下,even;<NUMBER:210
40854,6600700,全,=SECTION:2;all
