22144,6501100,單  81號以下,odd;<NUMBER:81
22143,6501100,單  83號以上,odd;>NUMBER:83
22144,6501100,雙  52號以下,even;<NUMBER:52
22143,6501100,雙  54號以上,even;>NUMBER:54
