33050,6800100,單  51號以下,odd;<NUMBER:51
33044,6800100,單  53號至 769號,odd;~NUMBER:53:769
33051,6800100,單 771號以上,odd;>NUMBER:771
33050,6800100,雙  52號以下,even;<NUMBER:52
33044,6800100,雙  54號至 614號,even;~NUMBER:54:614
33051,6800100,雙 616號至 888號,even;~NUMBER:616:888
33858,6800500,雙 890號至 908號,even;~NUMBER:890:908
