61349,1001002,單   3號以下,odd;<NUMBER:3
61341,1001002,單   5號至  49號,odd;~NUMBER:5:49
61345,1001002,單  51號以上,odd;>NUMBER:51
61341,1001002,雙   4號至  46號,even;~NUMBER:4:46
61345,1001002,雙  48號以上,even;>NUMBER:48
