64881,1000904,單 101號以下,odd;<NUMBER:101
64866,1000904,單 151號以上,odd;>NUMBER:151
64881,1000904,雙 100號以下,even;<NUMBER:100
64866,1000904,雙 150號以上,even;>NUMBER:150
