33846,6800500,連  19號以下,<NUMBER:19
33848,6800500,連  35號至  45號,~NUMBER:35:45
33858,6800500,連  20號至  34號,~NUMBER:20:34
33859,6800500,連  46號以上,>NUMBER:46
