33077,6800100,單 159號以下,odd;<NUMBER:159
33060,6800100,單 161號以上,odd;>NUMBER:161
33077,6800100,雙 298號以下,even;<NUMBER:298
33060,6800100,雙 300號以上,even;>NUMBER:300
