43549,6601400,單 425號至 549號,=SECTION:1;odd;~NUMBER:425:549
43544,6601400,雙 506號以上,=SECTION:1;even;>NUMBER:506
43544,6601400,雙  60號以下,=SECTION:2;even;<NUMBER:60
